"type","value","source","articlename"
"domain","serpro-15d962bb3ddd86db.elb.us-east-1.amazonaws.com","Google TI","UNC6266 TRACKSTOMP Domain Enumeration Targeting Education Sector.csv"
"url","http://timelevel12.com/big","Google TI","Actor of Unknown Motivations Leverages EtherHiding and ClickFix Social Engineering on Compromised Websites to Launch Malicious PowerShell Payloads.csv"
"url","https://fine-work-team.com/6272","Google TI","Actor of Unknown Motivations Leverages EtherHiding and ClickFix Social Engineering on Compromised Websites to Launch Malicious PowerShell Payloads.csv"
