"type","value","source","articlename"
"domain","blo66er.s3.us-west-2.amazonaws.com","Mandiant","UNC4108-Affiliated Actor Possibly Engaging in Ransomware Operations.csv"
"hash_md5","54980bec63368805b4df62bba5d4f1ef","Threatview","Threatview"
"hash_md5","89ff15bae1bc050ba6e57fd659e764c2","Threatview","Threatview"
"hash_md5","8ba399688dff40d189bf67653a54dc43","Threatview","Threatview"
"hash_md5","996127ad84d3192d6d4981f32f179ee2","Mandiant","UNC4108-Affiliated Actor Possibly Engaging in Ransomware Operations.csv"
"hash_md5","cece84cb12219802c920d73a8c399861","Mandiant","UNC4108-Affiliated Actor Possibly Engaging in Ransomware Operations.csv"
"hash_md5","d47b9167806fe1406c9fb2f7b2200190","Mandiant","UNC4108-Affiliated Actor Possibly Engaging in Ransomware Operations.csv"
"hash_md5","edb51ebd8e99c647c1c252dcd2b14b11","Threatview","Threatview"
"hash_md5","efffe2afbc5d8a0ad85b16155f0e1ed6","Threatview","Threatview"
"hash_md5","fdde0199ac02df794c55d4cbbc58ad3e","Mandiant","UNC4108-Affiliated Actor Possibly Engaging in Ransomware Operations.csv"
"hash_sha256","0d395e1b5680b9e1530bb3a1071bb1ebe54349174c8059ba8f6dea65fd282e63","Threatview","Threatview"
"hash_sha256","3aa76195a896e35af745219d79be05137648f8e82bfc1771f5e2d70f22120ec1","Threatview","Threatview"
"ip","91.221.190.175","Mandiant","UNC4108-Affiliated Actor Possibly Engaging in Ransomware Operations.csv"
"url","https://blo66er.s3.us-west-2.amazonaws.com/2902388419_down.txt","Mandiant","UNC4108-Affiliated Actor Possibly Engaging in Ransomware Operations.csv"
,,,
