"type","value","source","articlename"
"domain","oyr2ohrm.eyes.sh","Mandiant","Chinese Hackers Exploit Ivanti CSA Zero-Days in Attacks on French Government, Telecoms.csv"
"ip","107.173.111.26","Mandiant","Chinese Hackers Exploit Ivanti CSA Zero-Days in Attacks on French Government, Telecoms.csv"
"ip","156.234.193.18","Mandiant","Chinese Hackers Exploit Ivanti CSA Zero-Days in Attacks on French Government, Telecoms.csv"
"ip","195.133.52.87","Mandiant","Chinese Hackers Exploit Ivanti CSA Zero-Days in Attacks on French Government, Telecoms.csv"
"ip","23.236.66.97","Mandiant","Chinese Hackers Exploit Ivanti CSA Zero-Days in Attacks on French Government, Telecoms.csv"
,,,
