type,value,source,articlename
domain,aaa.xoredo-srv.com,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,all.terezo-kb.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,alomo-pofo.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,atcoconst.com,Google TI,Actor with Unknown Motivations Leveraging AI Generated Responses within Malvertising to Target MacOS Systems.csv
domain,biopranica.com,Google TI,Actor with Unknown Motivations Leveraging AI Generated Responses within Malvertising to Target MacOS Systems.csv
domain,cloud.giver-tuyk.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,cvols.com,Google TI,Actor with Unknown Motivations Leveraging AI Generated Responses within Malvertising to Target MacOS Systems.csv
domain,ejecen.com,Google TI,Actor with Unknown Motivations Leveraging AI Generated Responses within Malvertising to Target MacOS Systems.csv
domain,for.veyko-service.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,forearch.giver-tuyk.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,ftp.alomo-pofo.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,giver-tuyk.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,global.terezo-kb.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,gomo.qomaun-upd.com,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,hide.terezo-kb.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,how.howoe-icos.com,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,kayeart.com,Google TI,Actor with Unknown Motivations Leveraging AI Generated Responses within Malvertising to Target MacOS Systems.csv
domain,mail.xoredo-srv.com,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,mails.alomo-pofo.org,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
domain,nonnida.com,Google TI,Actor with Unknown Motivations Leveraging AI Generated Responses within Malvertising to Target MacOS Systems.csv
domain,putuartana.com,Google TI,Actor with Unknown Motivations Leveraging AI Generated Responses within Malvertising to Target MacOS Systems.csv
domain,qomaun-upd.com,Google TI,Financially Motivated Threat Group Leverages Handoffs from Click-Fix-Based FLUTECLICK and CORNFLAKE Network Compromises to Clone Domain Controllers and Deploy Ransomware.csv
