"type","value","source","articlename"
"domain","handala-hack.to","Google TI","'End is near' Iranian hacker group Handala leaks identities of Israel’s intelligence Unit 9900 officers.csv"
"hash_md5","24c9a871515d997106f5d59e343ae515","Google TI","Pawn Storm Uses Brute Force and Stealth Against High-Value Targets.csv"
"hash_md5","358d9271b8e207e82dafe6ea67c1d198","Google TI","Pawn Storm Uses Brute Force and Stealth Against High-Value Targets.csv"
"hash_sha256","4f3992b9dbd1c2a64588a5bc23f1b37a12a4355688d6e1a06408ea2449c59368","Google TI","Pawn Storm Uses Brute Force and Stealth Against High-Value Targets.csv"
"hash_sha256","52951f2d92e3d547bad86e33c1b0a8622ac391c614efa3c5d167d8a825937179","Google TI","Pawn Storm Uses Brute Force and Stealth Against High-Value Targets.csv"
"hash_sha256","6718cb66521a678274e5672285bf208eac375827d622edcf1fe7eba7e7aa65e0","Google TI","The Beast Returns Analysis of a Beast Ransomware Server.csv"
"ip_address","104.21.3.183","Google TI","'End is near' Iranian hacker group Handala leaks identities of Israel’s intelligence Unit 9900 officers.csv"
"ip_address","5.78.84.144","Google TI","The Beast Returns Analysis of a Beast Ransomware Server.csv"
