"type","value","source","articlename"
"domain","afonsoferragista.com","Google TI","Operation REF3076 Distributes TCLBANKER Banking Trojan via Trojanized Logitech Installer.csv"
"domain","arquivos-omie.com","Google TI","Operation REF3076 Distributes TCLBANKER Banking Trojan via Trojanized Logitech Installer.csv"
"domain","doccompartilhe.com","Google TI","Operation REF3076 Distributes TCLBANKER Banking Trojan via Trojanized Logitech Installer.csv"
"domain","documentos-online.com","Google TI","Operation REF3076 Distributes TCLBANKER Banking Trojan via Trojanized Logitech Installer.csv"
"domain","mxtestacionamentos.com","Google TI","Operation REF3076 Distributes TCLBANKER Banking Trojan via Trojanized Logitech Installer.csv"
"domain","recebamais.com","Google TI","Operation REF3076 Distributes TCLBANKER Banking Trojan via Trojanized Logitech Installer.csv"
"hash_md5","06f55a73b369040bee42de084027d3dc","Threatview","Threatview"
"hash_md5","3b67ea25fe8336d31ff480af4c857615","Threatview","Threatview"
"hash_md5","483d16bbbb25c1d0e2c05000ef8a72c3","Threatview","Threatview"
"hash_md5","56ff11e3d7de149ad251b6fd7e565a71","Threatview","Threatview"
"hash_md5","58e5e9a7ef509920b05253aa806422fa","Threatview","Threatview"
"hash_md5","73f859fe238fdd687736ed2039e1d61d","Threatview","Threatview"
"hash_md5","74399b1d6c287ae48db67fc5e3aa5a28","Threatview","Threatview"
"hash_md5","798ed7dd5b733b82b05df7fe9f6f546f","Threatview","Threatview"
"hash_md5","7ad98274c5b35f178aa65fc75c1ba675","Threatview","Threatview"
"hash_md5","873e628f5d558feb47af978f1c076903","Threatview","Threatview"
"hash_md5","961528b48b761f9f207978bc7ebac024","Threatview","Threatview"
"hash_md5","9ca07ab3525782b35ec7b4a9c931fe88","Threatview","Threatview"
"hash_md5","bdb677e209c25ee4839bfa3011bf4d96","Threatview","Threatview"
"hash_md5","c196e3eedb24812568521ec9cbcedf31","Threatview","Threatview"
"hash_md5","cb04f21f53d0cfbf576070268b8a8719","Threatview","Threatview"
"hash_md5","d6c89a7d313aca48f9ac787d27447234","Threatview","Threatview"
"hash_md5","dd03408b67f24d61832ab48fc5e41f11","Threatview","Threatview"
"hash_md5","dee823048e88af86ae251242ce0de3cc","Threatview","Threatview"
"hash_md5","e9df9fe7c5f9185c420974b6c31025d5","Threatview","Threatview"
"hash_md5","ef5b753e5a2118d18c5e809c3d159a35","Threatview","Threatview"
"hash_sha256","01914660a0d11ef40e0d4bb43dad84716a9ac859097d73bfd15d66bab8f33b7d","Threatview","Threatview"
"hash_sha256","035b211d790857cfc1d92804da662efda527f5ec111c0ab8a48d3f6ee1aec6f9","Google TI","Campaign 26.053 - Actor of Unknown Motivations Uses Obfuscated PowerShell and Registry Modifications to Target Healthcare and Education.csv"
"hash_sha256","073eb2fb4cb1cdbc14c435028dfd04ca631dac4d713b1bfce573f84e90757d37","Threatview","Threatview"
"hash_sha256","084ca0216ea61363e139901888984a30e704ea720193cdffc7ea2d2753d474ca","Google TI","Campaign 26.053 - Actor of Unknown Motivations Uses Obfuscated PowerShell and Registry Modifications to Target Healthcare and Education.csv"
"hash_sha256","0ce1d8a47fc78ac53c0b62bed96b20fa721e3e39115a6248d55100eb01eafff1","Threatview","Threatview"
"hash_sha256","0de9cc3daa4dc11053c6b43635355c95b6f51f19f617764efb0e0f2729d01e91","Threatview","Threatview"
"hash_sha256","0f4a1f74ee8ef181e6a8a2cd5b5e6d4448fcb8f505d26049f1e575f41de4b0c7","Google TI","Campaign 26.053 - Actor of Unknown Motivations Uses Obfuscated PowerShell and Registry Modifications to Target Healthcare and Education.csv"
"hash_sha256","10331de844a7aa4d2ef82a5801bcdbc94e551cf70df647033d66756b40e3ba51","Google TI","Campaign 26.053 - Actor of Unknown Motivations Uses Obfuscated PowerShell and Registry Modifications to Target Healthcare and Education.csv"
"hash_sha256","133a79e9094c14c0f41378c712fd9a3f7687e5ab6f781bd5fb94774e64f4b48d","Threatview","Threatview"
"hash_sha256","15234d5912b39b3fcb25a905fc863ab647e6558e95d553fae8a84549201b9c84","Threatview","Threatview"
