"type","value","source","articlename"
"domain","pharmacynod.com","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
"hash_md5","355bff052f222581bc8069814a809bac","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
"hash_md5","46e036b91e6673e3b46d43fb1e6d0104","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
"hash_md5","61eb76bd9a1638d3cf2886c8a626450a","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
"hash_md5","6cb7da5dfdb28f829b599bcdf5aad4f5","Threatview","Threatview"
"hash_md5","858e7405ad546bcdeb56ad309604dbff","Threatview","Threatview"
"hash_md5","B3E5B0DDAB44F789DD51E8187EDCA0B7","Threatview","Threatview"
"hash_md5","f6b8aa93f70ebca070f268d2a4f62243","Threatview","Threatview"
"hash_sha256","14137558073301053ccb26440d07e2def8a0add9029d42c4bf0776bf3c0f5659","Extracted","Threatview"
"ip","62.106.66.112","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
"url","https://pharmacynod.com/31133?did=59MVRI","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
"url","https://pharmacynod.com/35893?provider=68600","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
"url","https://pharmacynod.com/Fix","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
"url","https://pharmacynod.com/join/join.html","Mandiant","UNC3313 'Paste & Run' Campaign Targets Israel with New SWANSOUL PowerShell Backdoor.csv"
,,,
