"type","value","source","articlename"
"domain","93-187-56-19.nistpyzlfeyzcyrsimcx814h1j59iqxo1.oast.fun","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","checkmarx.zone","Google TI","Flaw in Claude Chrome extension allowed malicious AI control.csv"
"domain","contabilidad.icu","Google TI","BianLian Ransomware Spreads via Fake Invoice SVG Images in New Attacks.csv"
"domain","documentodigital.cloud","Google TI","BianLian Ransomware Spreads via Fake Invoice SVG Images in New Attacks.csv"
"domain","e598292a5fbd.ngrok-free.app","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","handala-hack.to","Google TI","‘Malicious actors’ targeted Kash Patel’s personal email, as Iran hacking group takes responsibility FBI.csv"
"domain","hxa-93-187-56-19.nistpyzlfeyzcyrsimcx814h1j59iqxo1.oast.fun","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","j7v92s8o.requestrepo.com","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","j9483mzy.requestrepo.com","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","models.litellm.cloud","Google TI","Flaw in Claude Chrome extension allowed malicious AI control.csv"
"domain","ngrok-free.app","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","nistpyzlfeyzcyrsimcx814h1j59iqxo1.oast.fun","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","oast.fun","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","oast.live","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","oast.site","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","requestrepo.com","Google TI","Multiple Threat Actors Leveraging CVE-2026-1281 and CVE-2026-1340 for Initial Access.csv"
"domain","securitysettings.live","Google TI","Actor of Unknown Motivations Leverages CLICKFIX to Execute MSTHA Commands to Download Additional Payloads.csv"
"domain","upgratesecuritys.com","Google TI","Actor of Unknown Motivations Leverages CLICKFIX to Execute MSTHA Commands to Download Additional Payloads.csv"
"domain","welcome.careerscrews.com","Google TI","TikTok Scam Hijacks Google Accounts and Enables Personal Data Theft.csv"
"domain","welcome.careersprogress.com","Google TI","TikTok Scam Hijacks Google Accounts and Enables Personal Data Theft.csv"
