"type","value","source","articlename"
"hash_md5","da02ed0b6271775f0fc6e0efb52e8ca7","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"hash_md5","a52964075d01468f3352d46fcfdc904c","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"hash_md5","435906220b339dd7d676065468eef355","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"hash_md5","dbf9ecb51d880f6dfb6ae837e3a7f796","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"url","http://27.102.138.226/mexc_20250517.zip","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"hash_md5","dd654727249aefcbe8787864e8368fe4","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"ip","27.102.138.226","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","ntsdoc.clear-info.o-r.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","nts.authenticatesvc.kro.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","nts-doc.send-doc.n-e.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","ms.www.nts-auth.n-e.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","mexc.navers.fun","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","mexc.m-service.space","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","ls.mail-check.ms.nts-auth.n-e.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","login.mexc-account.kro.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","iduser.ls.mail-check.ms.www.nts-auth.n-e.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","google.sign-account.o-r.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","google.check-account.kro.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","google.account-verify.kro.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","google.account-info.kro.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","download.nts-app.n-e.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","auth.ntsmail.p-e.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","www.nts-sign.o-r.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","www.nts-auth.n-e.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","sign.accountgooglecroup.p-e.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
"domain","ntsdoc.pass-info.o-r.kr","Mandiant","APT43 Credential Harvesting Campaigns Leverage South Korean Politics, Cryptocurrency, Tax-Themed Infrastructure.csv"
