"type","value","source","articlename"
"hash_md5","176c3de6c4a1ac5c34b6d6be54fca774","Mandiant","25-10032794_indicators.csv"
"hash_md5","22892b8303fa56f4b584a04c09d508d8","Mandiant","25-10032794_indicators.csv"
"hash_md5","d08ee8fd148038e47ecb68ab526a8525","Mandiant","25-10032794_indicators.csv"
"hash_md5","dd3fa6ae969ccdf3d221bd95ffef5a7b","Mandiant","25-10032794_indicators.csv"
"hash_md5","e72e6f28b3fc6bfe087a7bdffb068443","Mandiant","25-10032794_indicators.csv"
"ip","185.156.73.73","Mandiant","25-10032794_indicators.csv"
"ip","185.215.113.209","Mandiant","25-10032794_indicators.csv"
"ip","185.215.113.75","Mandiant","25-10032794_indicators.csv"
"url","http://185.215.113.16/test/amnew.exe","Mandiant","25-10032794_indicators.csv"
"url","http://185.215.113.43/Zu7JuNko/index.php","Mandiant","25-10032794_indicators.csv"
"url","http://pivqmane.com/doc/fb.mp4","Mandiant","25-10032794_indicators.csv"
"url","http://pivqmane.com/testonload.mp4","Mandiant","25-10032794_indicators.csv"
,,,
