"type","value","source","articlename"
"domain","369201v-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","482901v-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","543902-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","562789-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","582751v-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","650421-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","673442-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","673827-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","673908-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","674933-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","783521-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","901562-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","903182s-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-access.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-diagnostic.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-live.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-myaccount.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-myvault.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-protected.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-safeguard.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-safevault.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-securedvault.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coinbase-storage.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","coldwallets-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","defense-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","diagnose-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","diagnosis-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","diagnostics-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","google-aplication.download","Mandiant","New Albiriox MaaS Malware Targets 400+ Apps for On-Device Fraud and Screen Control.csv"
"domain","google-app-download.download","Mandiant","New Albiriox MaaS Malware Targets 400+ Apps for On-Device Fraud and Screen Control.csv"
"domain","google-app-get.com","Mandiant","New Albiriox MaaS Malware Targets 400+ Apps for On-Device Fraud and Screen Control.csv"
"domain","google-app-install.com","Mandiant","New Albiriox MaaS Malware Targets 400+ Apps for On-Device Fraud and Screen Control.csv"
"domain","google-get.download","Mandiant","New Albiriox MaaS Malware Targets 400+ Apps for On-Device Fraud and Screen Control.csv"
"domain","google-get-app.com","Mandiant","New Albiriox MaaS Malware Targets 400+ Apps for On-Device Fraud and Screen Control.csv"
"domain","jxnvbaubojxdjokjegad.supabase.co","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","mycoldstorage-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","myhelpdesk-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","mysafevault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","mysecureportal-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","play.google-get.store","Mandiant","New Albiriox MaaS Malware Targets 400+ Apps for On-Device Fraud and Screen Control.csv"
"domain","privacyvault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","protectedportal-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","protectedvault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","refuge-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","safeportal-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","safestorage-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","safestorages-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","safetystorage-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","safetyvault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","securedvault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","securesession-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","securing-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","securityvault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","storages-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.369201v-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.482901v-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.543902-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.562789-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.563901-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.582751v-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.673442-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.673827-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.673908-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.674933-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.783521-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.901562-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.903182s-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coinbase-access.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coinbase-diagnostic.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coinbase-live.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coinbase-myaccount.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coinbase-myvault.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coinbase-protected.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coinbase-safeguard.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coinbase-safevault.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.coldwallets-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.defense-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.diagnose-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.diagnosis-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.diagnostics-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.mycoldstorage-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.mysafevault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.mysecureportal-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.privacyvault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.protectedportal-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.protectedvault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.refuge-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.safeportal-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.safestorages-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.safetystorage-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
"domain","www.safetyvault-coinbase.com","Mandiant","Suspected AI-Generated COINBAIT Phishing Kit Enables Creation of Social Engineering Sites.csv"
