"type","value","source"
"domain","cija-drive.com","Mandiant"
"domain","cilardesign.com","Mandiant"
"domain","citygatetrunc.com","Mandiant"
"domain","civilstructgeo.org","Mandiant"
"domain","classmechthermo.com","Mandiant"
"domain","clippproducoes.com","Mandiant"
"domain","cloud-drive.live","Mandiant"
"domain","cloud-mail.online","Mandiant"
"domain","cloud-safety.online","Mandiant"
"domain","cloud-storage.live","Mandiant"
"domain","cloud-us.online","Mandiant"
"domain","clouddefsystems.com","Mandiant"
"domain","cloudefied.com","Mandiant"
"domain","cloudinfodata.com","Mandiant"
"domain","clouditprofi.com","Mandiant"
"domain","cloudrootstorage.com","Mandiant"
"domain","cloudsetupprofi.com","Mandiant"
"domain","cloudwebfile.com","Mandiant"
"domain","collappendrow.net","Mandiant"
"domain","colsrawrange.net","Mandiant"
"domain","comintroduction.com","Mandiant"
"domain","commandentrance.com","Mandiant"
"domain","compmatheng.com","Mandiant"
"domain","computertechdirectsystems.com","Mandiant"
"domain","computertechstoragecontainers.com","Mandiant"
"domain","computingdirectmart.com","Mandiant"
"domain","computingtechstudio.com","Mandiant"
"domain","condmattnano.com","Mandiant"
"domain","configlayers.com","Mandiant"
"domain","configuregatewayglobal.com","Mandiant"
"domain","connectiongatway.com","Mandiant"
"domain","constructionholdingnewlife.com","Mandiant"
"domain","consultasuproveedor.org","Mandiant"
"domain","continueprocess.net","Mandiant"
"domain","controlgatestorage.com","Mandiant"
"domain","controlsstoragedirect.com","Mandiant"
"domain","controlstoragesolutions.com","Mandiant"
"domain","core.toolpointtrim.com","Mandiant"
"domain","corpintroductionshow.com","Mandiant"
"domain","corporatesinvitation.com","Mandiant"
"domain","corpviewer.com","Mandiant"
"domain","countingtall.com","Mandiant"
"domain","courtoisthedwarf.net","Mandiant"
"domain","cpuisocutter.com","Mandiant"
"domain","crafflights.com","Mandiant"
"domain","craftfilelink.com","Mandiant"
"domain","craftshaft.net","Mandiant"
"domain","createtempdoc.com","Mandiant"
"domain","crestapp.ru","Mandiant"
"domain","crestwoodtok.com","Mandiant"
"domain","cryingpand.com","Mandiant"
"domain","cryptdatagate.com","Mandiant"
"domain","cryptdatahub.com","Mandiant"
"domain","cryptoanalyzetech.com","Mandiant"
"domain","cryptodocumentinformation.com","Mandiant"
"domain","cryptogatehomes.com","Mandiant"
"domain","cryptogatesolution.com","Mandiant"
"domain","cryptoinfostorage.com","Mandiant"
