"type","value","source","articlename"
"domain","blackrutor.net","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","clients.brendns.workers.dev","Mandiant","Beyond the Watering Hole APT24s Pivot to Multi-Vector Attacks.csv"
"domain","cloudpromo.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","cloudprovision.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","conhost.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","conhostex.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","conhostservice.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","docs.ledgerpropertiesllc.com","Mandiant","Distribution Cluster UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","eqmos.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","ermos.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","et-files-4.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","et-fs-1.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
"domain","ex22cheap.xyz","Mandiant","UNC4515 Defined Cryptocurrency Theft Operations to Support Task Force Rusich a Russian Neo-Nazi Paramilitary Group.csv"
