"type","value","source","articlename"
"domain","authapp.dns-down.o-r.kr","Mandiant","APT43 Leverages New FAKEVIEW Android Launcher to Deliver SPYNOTE Targeting South Korean Entities.csv"
"domain","checkinfo.dns-down.o-r.kr","Mandiant","APT43 Leverages New FAKEVIEW Android Launcher to Deliver SPYNOTE Targeting South Korean Entities.csv"
"domain","download.nts-app.n-e.kr","Mandiant","APT43 Leverages New FAKEVIEW Android Launcher to Deliver SPYNOTE Targeting South Korean Entities.csv"
"domain","download.nts-app.o-r.kr","Mandiant","APT43 Leverages New FAKEVIEW Android Launcher to Deliver SPYNOTE Targeting South Korean Entities.csv"
"domain","groundrats.org","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","static.twalls5280.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","store.alignfrisco.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","virtual.urban-orthodontics.com","Mandiant","Access Broker UNC1543 Leverages FAKEUPDATES and Deceptive Lures to Facilitate Initial Access Leading to Ransomware and Extortion.csv"
"domain","win.jyynh.com","Mandiant","Financially Motivated Threat Actor Uses Malicious Advertisements to Distribute Malware.csv"
"domain","winscp-ftp.net","Mandiant","Financially Motivated Threat Actor Uses Malicious Advertisements to Distribute Malware.csv"
"domain","winsps.com","Mandiant","Financially Motivated Threat Actor Uses Malicious Advertisements to Distribute Malware.csv"
"hash_md5","02b4571470d83163d103112f07f1c434","Extracted","Threatview"
"hash_md5","03055162a5600999d8e832469e2e3fb1","Mandiant","APT43 Leverages New FAKEVIEW Android Launcher to Deliver SPYNOTE Targeting South Korean Entities.csv"
"hash_md5","0679801ba195a750c76326549ad6587a","Mandiant","APT43 Leverages New FAKEVIEW Android Launcher to Deliver SPYNOTE Targeting South Korean Entities.csv"
