"type","value","source","articlename"
"",,"","indicators-campaign--34db1916-77c2-5e36-8cfe-042a3e4e93ea.csv"
"groundrats.org","000ec075.nodes.fioressence.com","Mandiant","indicators-campaign--34db1916-77c2-5e36-8cfe-042a3e4e93ea.csv"
"hash_sha256","51afcd5539ca6270fae45979cfd5f434d3635a4fc747b8231cf3a60906b32b2a","Extracted","Threatview"
"hash_sha256","db09f8ba6b1ec60f3e02eb61451690beedecb2ff2cf8ef9731736c22f17b32d2","Threatview","Threatview"
"https://billing.roofnrack.us/dh+V4w099ooSPa/RQSi5wQQ9r8EbPeg=","003c.discover.jsfconnections.com","Mandiant","indicators-campaign--34db1916-77c2-5e36-8cfe-042a3e4e93ea.csv"
"https://cp.envisionfonddulac.biz/HlPgaWVxgwB6cdpbKWfMS206hEskYtZaK2DVXTJxkkskcYYbezqPAHQkkA1oOpYabzSOC3JxnQ==","00631b7e.nodes.fioressence.com","Mandiant","indicators-campaign--34db1916-77c2-5e36-8cfe-042a3e4e93ea.csv"
"https://static.twalls5280.com/Cqpi5HGIAY1uiFjWPJ5OxniIWMZt2BKReMkFiHvaAJB9yBqXZtBAmQ==","006df.tool.pearldentalgroup.ca","Mandiant","indicators-campaign--34db1916-77c2-5e36-8cfe-042a3e4e93ea.csv"
"static.twalls5280.com","001b0c68.nodes.fioressence.com","Mandiant","indicators-campaign--34db1916-77c2-5e36-8cfe-042a3e4e93ea.csv"
"store.alignfrisco.com","002ad.shrubs.emptyisland.pics","Mandiant","indicators-campaign--34db1916-77c2-5e36-8cfe-042a3e4e93ea.csv"
"virtual.urban-orthodontics.com","0038.state.thegshrevolution.com","Mandiant","indicators-campaign--34db1916-77c2-5e36-8cfe-042a3e4e93ea.csv"
,,,
